school,sport,deal_type,deal_value,payment_type,brand,date,year,school_resources_used
UCLA,Football,Other,1000.0,Cash,Degree,4/26/22,2022,No
UCLA,Track and Field,Other,35000.0,Cash,Champion,4/26/22,2022,No
UCLA,Rowing (Womens),Other,0.0,Cash,Rowing Blazers,4/26/22,2022,No
UCLA,Basketball (Womens),Other,0.0,Cash,Holostars,4/26/22,2022,No
UCLA,Gymnastics (Womens),Other,9000.0,Cash,Doordash,4/26/22,2022,No
UCLA,Volleyball (Beach),Other,3000.0,Cash,Beach Bum Sportz,4/26/22,2022,No
UCLA,Volleyball (Beach),Other,1250.0,Cash,Suja Juice,4/26/22,2022,No
UCLA,Football,Other,1500.0,Cash,MoneyLion,4/26/22,2022,No
UCLA,Gymnastics (Womens),Other,3500.0,Cash,STUDS,4/26/22,2022,No
UCLA,Gymnastics (Womens),Other,0.0,Cash,Seat Geek,4/26/22,2022,No
UCLA,Basketball (Mens),Public Appearance,2500.0,Cash,Bill Goddard,6/29/22,2022,No
UCLA,Volleyball (Womens),Other,5000.0,Cash,Mark Kalmansohn,6/20/22,2022,No
UCLA,Track and Field,Other,0.0,Cash,Lola Getts,4/26/22,2022,No
UCLA,Football,Camps and Lessons,300.0,Product/Equity,FriendsOverFans LLC,6/5/22,2022,No
UCLA,Football,Camps and Lessons,300.0,Product/Equity,FriendsOverFans LLC,6/5/22,2022,No
UCLA,Football,Camps and Lessons,300.0,Product/Equity,FriendsOverFans LLC,6/5/22,2022,No
UCLA,Football,Camps and Lessons,300.0,Product/Equity,FriendsOverFans LLC,6/7/22,2022,No
UCLA,Basketball (Womens),Other,5000.0,Cash,Mark Kalmansohn,6/15/22,2022,No
UCLA,Tennis (Womens),Other,100.0,Cash,Stipend Athlete,4/26/22,2022,No
UCLA,Basketball (Mens),Public Appearance,6000.0,Cash,Will Mcclendon Classic,6/24/22,2022,No
UCLA,Basketball (Mens),Social Media,15.0,Cash,Cameo,6/29/22,2022,No
UCLA,Basketball (Mens),Social Media,15.0,Cash,Cameo,6/29/22,2022,No
UCLA,Basketball (Mens),Social Media,11.01,Cash,Cameo,6/29/22,2022,No
UCLA,Basketball (Mens),Social Media,11.01,Cash,Cameo,6/29/22,2022,No
UCLA,Soccer (Womens),Other,750.0,Cash,RPRT Management,6/9/22,2022,No
UCLA,Soccer (Womens),Other,750.0,Cash,RPRT Management,6/9/22,2022,No
UCLA,Water Polo (Mens),Not Sure,109.6,Product/Equity,Vuori,6/15/22,2022,No
UCLA,Volleyball (Mens),Autographs,3500.0,Cash,Lloyd and Julie Talbert,6/8/22,2022,No
UCLA,Basketball (Mens),Social Media,15.0,Cash,Cameo,6/21/22,2022,No
UCLA,Basketball (Mens),Social Media,15.0,Cash,Cameo,6/9/22,2022,No
UCLA,Tennis (Womens),Other,750.0,Cash,Pearson,4/26/22,2022,No
UCLA,Tennis (Womens),Other,200.0,Cash,Princess Polly,4/26/22,2022,No
UCLA,Basketball (Mens),Public Appearance,2000.0,Cash,Bruin Fan Alliance,5/13/22,2022,No
UCLA,Basketball (Mens),Public Appearance,3000.0,Cash,Bruin Fan Alliance,5/13/22,2022,No
UCLA,Football,Other,850.0,Cash,The Bruin Fan Alliance,5/14/22,2022,No
UCLA,Football,Other,850.0,Cash,Bruin Fan Alliance,5/14/22,2022,No
UCLA,Football,Other,850.0,Cash,The Bruin Fan Alliance,5/14/22,2022,No
UCLA,Football,Other,1800.0,Cash,The Bruin Fan Alliance,5/14/22,2022,No
UCLA,Football,Other,850.0,Cash,The Bruin Fan Alliance,5/15/22,2022,No
UCLA,Football,Other,800.0,Cash,The Bruin Fan Alliance,5/15/22,2022,No
UCLA,Football,Other,850.0,Cash,The Bruin Fan Alliance,5/15/22,2022,No
UCLA,Football,Other,750.0,Cash,The Bruin Fan Alliance,5/17/22,2022,No
UCLA,Football,Public Appearance,850.0,Cash,Bruin Fan Alliance,5/18/22,2022,No
UCLA,Football,Other,750.0,Cash,The Bruin Fan Alliance,5/19/22,2022,No
UCLA,Football,Other,750.0,Cash,The Bruin Fan Alliance,5/20/22,2022,No
UCLA,Tennis (Womens),Other,500.0,Cash,The Bruin Fan Alliance,5/22/22,2022,No
UCLA,Basketball (Mens),Other,2000.0,Cash,The Bruin Fan Alliance,5/23/22,2022,No
UCLA,Basketball (Mens),Public Appearance,2000.0,Cash,Bruin Fan Alliance,5/13/22,2022,No
UCLA,Football,Public Appearance,650.0,Cash,The Bruin Fan Alliance,5/14/22,2022,No
UCLA,Football,Public Appearance,650.0,Cash,The Bruin Fan Alliance,5/14/22,2022,No
UCLA,Football,Public Appearance,650.0,Cash,The Bruin Fan Alliance,5/14/22,2022,No
UCLA,Football,Public Appearance,1200.0,Cash,The Bruin Fan Alliance,5/14/22,2022,No
UCLA,Football,Public Appearance,650.0,Cash,The Bruin Fan Alliance,5/15/22,2022,No
UCLA,Football,Public Appearance,650.0,Cash,The Bruin Fan Alliance,5/15/22,2022,No
UCLA,Football,Public Appearance,650.0,Cash,The Bruin Fan Alliance,5/15/22,2022,No
UCLA,Football,Public Appearance,650.0,Cash,The Bruin Fan Alliance,5/17/22,2022,No
UCLA,Football,Public Appearance,650.0,Cash,The Bruin Fan Alliance,5/19/22,2022,No
UCLA,Football,Public Appearance,650.0,Cash,The Bruin Fan Alliance,5/19/22,2022,No
UCLA,Football,Public Appearance,650.0,Cash,The Bruin Fan Alliance,5/20/22,2022,No
UCLA,Tennis (Womens),Public Appearance,500.0,Cash,The Bruin Fan Alliance,5/22/22,2022,No
UCLA,Basketball (Mens),Social Media,22.5,Cash,Cameo,6/9/22,2022,No
UCLA,Basketball (Mens),Public Appearance,250.0,Cash,John Wilmarth,5/20/22,2022,No
