"state","Prisoners2022","Prisoners2022Males","Prisoners2022Females","PrisonersPer100k2022Male","PrisonersPer100k2022Female","PrisonersPer100k2022Over18","prisonPopChange2022","prisonPopChangePct2022","PrisonersPer100k2022","Prisoners2022White","Prisoners2022Black","Prisoners2022Hispanic","Prisoners2022Asian","Prisoners2022AmerIndian","Prisoners2022HawaiianPacific","Prisoners2022Mixed","Prisoners2022Other","Prisoners2022Unknown","Prisoners2022DidNotReport","Prisoners2021","Prisoners2021Males","Prisoners2021Females","Prisoners2020","Prisoners2020Male","Prisoners2020Female","Prisoners2019","Prisoners2019Female","Prisoners2019Male"
"Alabama",25032,22915,2117,749,51,500,1389,5.5,390,12249,13924,0,5,3,0,0,240,,0,26421,24053,2368,25328,23166,2162,28304,2749,25555
"Alaska",4639,4197,442,370,22,270,139,3,205,1740,446,121,220,1870,,,,42,339,4778,4322,456,4578,4159,419,4475,426,4049
"Arizona",33914,30794,3120,812,79,567,-49,-0.1,446,12637,5187,13371,164,1860,0,0,566,25,55,33865,30748,3117,37794,34136,3658,42441,4406,38035
"Arkansas",17022,15592,1430,1068,90,743,603,3.5,574,9913,6954,617,56,40,19,0,26,0,0,17625,16216,1409,16094,14781,1313,17759,1571,16188
"California",101441,97525,3916,481,19,319,-3833,-3.8,250,19625,27273,44402,1159,1123,308,,3718,,0,97608,93876,3732,100396,96629,3767,122687,5568,117119
"Colorado",15865,14599,1266,522,47,363,1303,8.2,288,7989,3045,5192,184,622,37,,35,0,64,17168,15766,1402,16259,14948,1311,19785,1919,17866
"Connecticut",9889,9254,635,329,18,213,617,6.2,170,3088,4356,2962,57,43,0,0,0,0,0,10506,9719,787,9559,9020,539,12823,941,11882
"Delaware",4810,4568,242,543,16,341,144,3,272,1617,2994,332,6,1,0,0,0,4,0,4954,4641,313,4710,4486,224,5692,379,5313
"Florida",80417,75404,5013,715,48,466,4261,5.3,377,33507,39978,10793,20,92,11,0,270,7,0,84678,79154,5524,81027,76012,5015,96009,6628,89381
"Georgia",47010,43942,3068,831,58,565,1429,3,435,17866,28453,1994,167,23,0,0,0,15,0,48439,45121,3318,47141,44041,3100,54816,4018,50798
