state,state_count,death_total,proportion
Texas,591,1603,36.86837180286962
Oklahoma,126,1603,7.860262008733625
Virginia,113,1603,7.049282595134124
Florida,106,1603,6.612601372426701
Missouri,100,1603,6.238303181534623
Alabama,77,1603,4.8034934497816595
Georgia,77,1603,4.8034934497816595
Ohio,56,1603,3.4934497816593884
South Carolina,45,1603,2.8072364316905802
North Carolina,43,1603,2.682470368059888
Arizona,40,1603,2.4953212726138494
Arkansas,31,1603,1.9338739862757333
Louisiana,28,1603,1.7467248908296942
Mississippi,23,1603,1.4348097317529631
Indiana,20,1603,1.2476606363069247
Delaware,16,1603,0.9981285090455396
Federal,16,1603,0.9981285090455396
California,13,1603,0.8109794135995009
Tennessee,13,1603,0.8109794135995009
Illinois,12,1603,0.7485963817841547
Nevada,12,1603,0.7485963817841547
Utah,8,1603,0.4990642545227698
Maryland,5,1603,0.3119151590767312
South Dakota,5,1603,0.3119151590767312
Washington,5,1603,0.3119151590767312
Nebraska,4,1603,0.2495321272613849
Idaho,3,1603,0.18714909544603867
Kentucky,3,1603,0.18714909544603867
Montana,3,1603,0.18714909544603867
Pennsylvania,3,1603,0.18714909544603867
Oregon,2,1603,0.12476606363069245
Colorado,1,1603,0.06238303181534623
Connecticut,1,1603,0.06238303181534623
New Mexico,1,1603,0.06238303181534623
Wyoming,1,1603,0.06238303181534623
